10000; 659400
20000; 1438603
30000; 2217736
40000; 3116858
50000; 3996049
60000; 4915176
70000; 5734332
80000; 6713475
90000; 7552653
100000; 8591724
210000; 19302289
220000; 20221447
230000; 21600556
240000; 22539690
250000; 23478812
260000; 24417952
270000; 25357070
280000; 26856211
290000; 27815355
300000; 28774517
