200000; 0.003
210000; 0.002
220000; 0.003
230000; 0.002
240000; 0.003
250000; 0.003
260000; 0.003
270000; 0.003
280000; 0.003
290000; 0.004
300000; 0.003
1110000; 0.020
1120000; 0.011
1130000; 0.011
1140000; 0.012
1150000; 0.013
1160000; 0.012
1170000; 0.012
1180000; 0.012
1190000; 0.013
1200000; 0.012
5110000; 0.072
5120000; 0.053
5130000; 0.054
5140000; 0.053
5150000; 0.053
5160000; 0.053
5170000; 0.054
5180000; 0.054
5190000; 0.053
5200000; 0.053
5110000; 0.054
5210000; 0.055
5310000; 0.056
5410000; 0.055
5510000; 0.058
5610000; 0.058
